networkId,roadTemperature,airTemperature,airHumidity,precipitation,batteryLevel,rssi,seqNumber,transmissionSeqNumber,firmwareVersion,time,createdAt
14484CA85F3FB,,,,,,19.0,3530.0,,"1,7",2024-02-11T22:50:10.618,2024-02-11T22:50:10.805
14484CA85F3FB,-0.30000000000000004,0.5,94.0,0.0,5.0,,,,,2024-02-11T22:52:30.000,2024-02-11T22:54:42.158
14484CA85F3FB,,,,,,18.0,3531.0,,"1,7",2024-02-11T22:54:21.978,2024-02-11T22:54:22.092
14484CA85F3FB,,,,,,19.0,3531.0,,"1,7",2024-02-11T22:54:39.037,2024-02-11T22:54:39.301
14484CA85F3FB,-0.30000000000000004,0.5,94.0,0.0,4.9,,,,,2024-02-11T22:57:30.000,2024-02-11T22:59:13.143
14484CA85F3FB,,,,,,19.0,3532.0,,"1,7",2024-02-11T22:59:09.060,2024-02-11T22:59:09.335
14484CA85F3FB,-0.30000000000000004,0.5,94.0,0.0,5.0,,,,,2024-02-11T23:02:30.000,2024-02-11T23:04:33.396
14484CA85F3FB,,,,,,18.0,3533.0,,"1,7",2024-02-11T23:04:29.098,2024-02-11T23:04:29.267
14484CA85F3FB,-0.30000000000000004,0.5,94.0,0.0,4.9,,,,,2024-02-11T23:07:30.000,2024-02-11T23:09:09.057
14484CA85F3FB,,,,,,18.0,3534.0,,"1,7",2024-02-11T23:09:05.390,2024-02-11T23:09:05.819
14484CA85F3FB,-0.30000000000000004,0.5,94.0,0.0,5.0,,,,,2024-02-11T23:12:30.000,2024-02-11T23:15:18.766
14484CA85F3FB,,,,,,18.0,3535.0,,"1,7",2024-02-11T23:15:14.660,2024-02-11T23:15:14.981
14484CA85F3FB,-0.30000000000000004,0.5,94.0,0.0,5.0,,,,,2024-02-11T23:17:30.000,2024-02-11T23:25:18.917
14484CA85F3FB,-0.30000000000000004,0.5,93.0,0.0,4.9,,,,,2024-02-11T23:25:00.000,2024-02-11T23:31:26.644
14484CA85F3FB,,,,,,19.0,3536.0,,"1,7",2024-02-11T23:25:14.246,2024-02-11T23:25:14.851
14484CA85F3FB,-0.30000000000000004,0.5,93.0,0.0,4.9,,,,,2024-02-11T23:29:30.000,2024-02-11T23:31:32.346
14484CA85F3FB,,,,,,18.0,3537.0,,"1,7",2024-02-11T23:31:23.264,2024-02-11T23:31:23.718
14484CA85F3FB,-0.30000000000000004,0.5,93.0,0.0,5.0,,,,,2024-02-11T23:34:30.000,2024-02-11T23:36:16.448
14484CA85F3FB,-0.30000000000000004,0.5,93.0,0.0,5.0,,,,,2024-02-11T23:34:30.000,2024-02-11T23:36:22.142
14484CA85F3FB,-0.30000000000000004,0.5,93.0,0.0,5.0,,,,,2024-02-11T23:34:30.000,2024-02-11T23:36:29.751
14484CA85F3FB,,,,,,18.0,3538.0,,"1,7",2024-02-11T23:36:08.682,2024-02-11T23:36:08.758
14484CA85F3FB,-0.30000000000000004,0.5,93.0,0.0,4.9,,,,,2024-02-11T23:39:30.000,2024-02-11T23:42:31.882
14484CA85F3FB,,,,,,18.0,3539.0,,"1,7",2024-02-11T23:41:07.392,2024-02-11T23:41:07.828
14484CA85F3FB,,,,,,19.0,3539.0,,"1,7",2024-02-11T23:42:17.213,2024-02-11T23:42:17.274
14484CA85F3FB,,,,,,18.0,3539.0,,"1,7",2024-02-11T23:42:20.693,2024-02-11T23:42:20.999
14484CA85F3FB,,,,,,20.0,3539.0,,"1,7",2024-02-11T23:42:27.071,2024-02-11T23:42:28.069
14484CA85F3FB,-0.30000000000000004,0.5,93.0,0.0,4.9,,,,,2024-02-11T23:44:30.000,2024-02-11T23:47:37.976
14484CA85F3FB,,,,,,19.0,3540.0,,"1,7",2024-02-11T23:47:15.846,2024-02-11T23:47:16.069
14484CA85F3FB,,,,,,20.0,3540.0,,"1,7",2024-02-11T23:47:33.047,2024-02-11T23:47:33.335
14484CA85F3FB,-0.30000000000000004,0.5,93.0,0.0,4.9,,,,,2024-02-11T23:49:30.000,2024-02-11T23:51:06.676
14484CA85F3FB,-0.30000000000000004,0.5,93.0,0.0,4.9,,,,,2024-02-11T23:49:30.000,2024-02-11T23:51:07.683
14484CA85F3FB,,,,,,18.0,3541.0,,"1,7",2024-02-11T23:50:59.291,2024-02-11T23:50:59.547
14484CA85F3FB,-0.30000000000000004,0.6000000000000001,93.0,0.0,5.0,,,,,2024-02-11T23:54:30.000,2024-02-11T23:57:02.223
14484CA85F3FB,,,,,,20.0,3542.0,,"1,7",2024-02-11T23:56:57.555,2024-02-11T23:56:57.648
14484CA85F3FB,-0.30000000000000004,0.5,93.0,0.0,4.9,,,,,2024-02-11T23:59:30.000,2024-02-12T00:01:22.105
14484CA85F3FB,-0.30000000000000004,0.5,93.0,0.0,4.9,,,,,2024-02-11T23:59:30.000,2024-02-12T00:01:26.508
14484CA85F3FB,-0.30000000000000004,0.5,93.0,0.0,4.9,,,,,2024-02-11T23:59:30.000,2024-02-12T00:01:27.146
14484CA85F3FB,,,,,,19.0,3543.0,,"1,7",2024-02-12T00:01:04.730,2024-02-12T00:01:04.787
14484CA85F3FB,-0.30000000000000004,0.5,94.0,0.0,4.9,,,,,2024-02-12T00:04:30.000,2024-02-12T00:06:11.992
14484CA85F3FB,,,,,,18.0,3544.0,,"1,7",2024-02-12T00:06:05.306,2024-02-12T00:06:05.476
14484CA85F3FB,-0.30000000000000004,0.5,94.0,0.0,5.0,,,,,2024-02-12T00:09:30.000,2024-02-12T00:11:10.336
14484CA85F3FB,,,,,,18.0,3545.0,,"1,7",2024-02-12T00:11:06.342,2024-02-12T00:11:06.399
14484CA85F3FB,-0.30000000000000004,0.4,95.0,0.0,4.9,,,,,2024-02-12T00:14:30.000,2024-02-12T00:16:09.276
14484CA85F3FB,,,,,,19.0,3546.0,,"1,7",2024-02-12T00:16:06.493,2024-02-12T00:16:06.700
14484CA85F3FB,-0.30000000000000004,0.4,95.0,0.0,5.0,,,,,2024-02-12T00:19:30.000,2024-02-12T00:21:09.640
14484CA85F3FB,,,,,,20.0,3547.0,,"1,7",2024-02-12T00:21:05.969,2024-02-12T00:21:06.243
14484CA85F3FB,-0.30000000000000004,0.4,95.0,0.0,4.9,,,,,2024-02-12T00:24:30.000,2024-02-12T00:26:38.072
14484CA85F3FB,,,,,,18.0,3548.0,,"1,7",2024-02-12T00:26:16.181,2024-02-12T00:26:16.486
14484CA85F3FB,,,,,,18.0,3548.0,,"1,7",2024-02-12T00:26:33.974,2024-02-12T00:26:34.130
14484CA85F3FB,-0.30000000000000004,0.30000000000000004,96.0,0.0,5.0,,,,,2024-02-12T00:29:30.000,2024-02-12T00:36:53.446
14484CA85F3FB,-0.30000000000000004,0.4,96.0,0.0,4.9,,,,,2024-02-12T00:36:30.000,2024-02-12T00:50:24.028
14484CA85F3FB,,,,,,19.0,3549.0,,"1,7",2024-02-12T00:36:48.593,2024-02-12T00:36:48.749
14484CA85F3FB,-0.30000000000000004,0.4,96.0,0.0,4.9,,,,,2024-02-12T00:47:30.000,2024-02-12T00:50:26.352
14484CA85F3FB,,,,,,17.0,3550.0,,"1,7",2024-02-12T00:49:26.683,2024-02-12T00:49:27.205
14484CA85F3FB,,,,,,18.0,3550.0,,"1,7",2024-02-12T00:49:40.279,2024-02-12T00:49:40.340
14484CA85F3FB,,,,,,17.0,3550.0,,"1,7",2024-02-12T00:50:20.547,2024-02-12T00:50:20.861
14484CA85F3FB,,,,,,18.0,3550.0,,"1,7",2024-02-12T00:50:22.291,2024-02-12T00:50:22.748
14484CA85F3FB,-0.30000000000000004,0.30000000000000004,96.0,0.0,4.9,,,,,2024-02-12T00:52:30.000,2024-02-12T00:54:09.584
14484CA85F3FB,,,,,,19.0,3551.0,,"1,7",2024-02-12T00:54:05.489,2024-02-12T00:54:05.744
