networkId,distance,waterLevel,batteryLevel,rssi,seqNumber,firmwareVersion,messageType,time,createdAt
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T20:07:30.000,2023-12-11T20:54:24.312
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T20:12:30.000,2023-12-11T20:54:29.408
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T20:17:30.000,2023-12-11T20:54:34.516
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T20:22:30.000,2023-12-11T20:54:39.704
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T20:27:30.000,2023-12-11T20:54:44.840
14484CA7BED21,1.67,0.02,6.2,,,,,2023-12-11T20:32:30.000,2023-12-11T20:54:51.568
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T20:37:30.000,2023-12-11T20:54:54.740
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T20:42:30.000,2023-12-11T20:54:58.902
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T20:47:30.000,2023-12-11T20:55:04.235
14484CA7BED21,1.67,0.02,6.2,,,,,2023-12-11T20:52:30.000,2023-12-11T20:55:09.379
14484CA7BED21,,,,6.0,23.0,"1,4",cfg,2023-12-11T20:53:27.080,2023-12-11T20:53:27.142
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T20:57:30.000,2023-12-11T22:33:34.099
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T21:02:30.000,2023-12-11T22:33:40.232
14484CA7BED21,1.67,0.02,6.2,,,,,2023-12-11T21:07:30.000,2023-12-11T22:33:46.684
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T21:12:30.000,2023-12-11T22:33:51.915
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T21:17:30.000,2023-12-11T22:33:56.818
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T21:22:30.000,2023-12-11T22:34:01.862
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T21:27:30.000,2023-12-11T22:34:07.055
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T21:32:30.000,2023-12-11T22:34:12.567
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T21:37:30.000,2023-12-11T22:34:17.339
14484CA7BED21,1.67,0.02,6.2,,,,,2023-12-11T21:42:30.000,2023-12-11T22:34:22.364
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T21:47:30.000,2023-12-11T22:34:27.855
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T21:52:30.000,2023-12-11T22:34:32.607
14484CA7BED21,1.6600000000000001,0.03,6.2,,,,,2023-12-11T21:57:30.000,2023-12-11T22:34:37.825
